,cm_cd,IncomePA,cm_occup,E2Channel,IsKarvy,KRA YN,age,months_since_last_login,months_since_last_trade,dp_holding,total_logins_one_year,total_trades_one_year
41579,10102454,5_10L,P,CAT,0,Y,26.0,2.3550766106966226,3.603562205883382,0.0,35.0,1.0
41635,10962937,<=1L,S,CAT,0,N,25.0,2.585060799283657,2.585060799283657,0.0,2.0,1.0
41645,11230670,<=1L,P,CAT,0,N,21.0,132.0,132.0,0.0,0.0,0.0
41653,10905275,5_10L,P,CAT,0,N,23.0,0.9094617110066904,8.10468132537249,0.0,1437.0,92.0
41660,10615093,<=1L,P,CAT,0,N,23.0,132.0,132.0,0.0,0.0,0.0
41669,10130557,5_10L,P,CAT,0,Y,19.0,4.786338032902417,132.0,0.0,22.0,0.0
41705,1234SYED,others,P,CAT,0,N,53.0,132.0,0.9423165950905524,31.0,0.0,1.0
41710,10375767,5_10L,S,CAT,0,N,31.0,4.162095235309037,4.162095235309037,0.0,3.0,1.0
41726,10662443,<=1L,S,CAT,0,N,19.0,2.125092422109588,2.0922375380257257,0.0,8.0,1.0
41773,10875530,<=1L,S,CAT,0,N,44.0,1.0408812473421387,1.0737361314260008,0.0,3.0,1.0
41785,11290280,<=1L,S,CAT,0,N,35.0,1.2051556677614492,2.125092422109588,0.0,23.0,1.0
41792,10441060,<=1L,S,CAT,0,N,23.0,1.9279631176064151,2.223657074361174,0.0,14.0,4.0
41795,10010246,<=1L,S,CAT,0,N,22.0,5.837694323586004,132.0,0.0,9.0,0.0
41803,10977243,<=1L,P,CAT,0,N,36.0,132.0,132.0,0.0,0.0,0.0
41841,10615063,5_10L,P,CAT,0,N,22.0,14.018560460467665,132.0,0.0,0.0,0.0
41845,11149905,<=1L,P,CAT,0,N,24.0,5.607710134998969,132.0,0.0,95.0,0.0
41850,10000209,5_10L,P,CAT,0,Y,36.0,132.0,132.0,0.0,0.0,0.0
41917,11196192,<=1L,S,CAT,0,N,38.0,5.180596641908762,5.180596641908762,0.0,182.0,2.0
41935,12408632,<=1L,P,CAT,0,N,23.0,0.6466226383357937,2.125092422109588,0.0,6.0,1.0
41938,11196899,<=1L,S,CAT,0,N,28.0,1.500849624516208,1.467994740432346,0.0,1.0,1.0
41945,12185193,<=1L,P,CAT,0,N,30.0,132.0,132.0,0.0,0.0,0.0
41979,10944011,5_10L,P,CAT,0,Y,22.0,9.84599018181718,132.0,0.0,1.0,0.0
41998,12348637,<=1L,ST,CAT,0,N,22.0,1.862253349438691,1.2708654359291731,1525.0,18.0,1.0
42020,10639624,5_10L,P,CAT,0,Y,33.0,6.593356657514832,1.467994740432346,0.0,14.0,1.0
42034,10615051,5_10L,P,CAT,0,N,22.0,132.0,1.0408812473421387,0.0,0.0,1.0
42045,11047630,<=1L,S,CAT,0,N,20.0,1.139445899593725,2.4536412629482087,0.0,9.0,1.0
42107,12789456,<=1L,P,CAT,0,N,32.0,132.0,132.0,0.0,0.0,0.0
42117,10615265,5_10L,P,CAT,0,Y,29.0,132.0,132.0,0.0,0.0,0.0
42123,10429606,5_10L,S,Franchisee,1,N,26.0,3.340723133212485,3.5049975536317954,0.0,19.0,1.0
42140,10389676,<=1L,S,CAT,0,Y,21.0,132.0,1.467994740432346,0.0,0.0,1.0
42170,10477499,<=1L,O,CAT,0,N,27.0,132.0,132.0,0.0,0.0,0.0
42175,10779650,5_10L,P,CAT,0,N,24.0,5.607710134998969,132.0,0.0,2.0,0.0
42199,10154601,<=1L,S,CAT,0,Y,20.0,1.0737361314260008,2.0922375380257257,0.0,19.0,1.0
42207,11258632,<=1L,P,CAT,0,N,21.0,132.0,132.0,0.0,0.0,0.0
42231,10006080,<=1L,O,CAT,0,N,26.0,132.0,132.0,0.0,2.0,0.0
42244,10007428,<=1L,S,CAT,0,Y,20.0,1.5994142767677944,1.7308338131032426,0.0,13.0,1.0
42263,11428242,<=1L,B,CAT,0,N,28.0,0.7123324065035178,0.778042174671242,29258.0,3961.0,68.0
42273,10909328,<=1L,S,CAT,0,N,19.0,3.275013365044761,132.0,0.0,4.0,0.0
42278,11892523,5_10L,P,CAT,0,N,24.0,8.10468132537249,132.0,0.0,14.0,0.0
